race_name,short_race_name,date,lap,driver_ID,driver,section,speed_mph
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,4,51,"Abel, Jacob",S13_PO_to_SF,56.077
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,51,"Abel, Jacob",S01_FS_PO,74.142
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,51,"Abel, Jacob",S02_Turn1,61.591
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,51,"Abel, Jacob",S03_Turns2_3,56.667
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,51,"Abel, Jacob",S04_Turn4,58.754
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,51,"Abel, Jacob",S05_Turns5_8,57.74
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,51,"Abel, Jacob",S06_Turn9,50.521
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,51,"Abel, Jacob",S07_Turn9a,54.541
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,51,"Abel, Jacob",S08_Turn10,50.954
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,51,"Abel, Jacob",S09_Turns11_12,70.07
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,51,"Abel, Jacob",S10_Turns13_14,49.649
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,51,"Abel, Jacob",S11_FS_PI,58.637
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,5,51,"Abel, Jacob",lap_speed_mph,57.592
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,51,"Abel, Jacob",S01_FS_PO,65.991
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,51,"Abel, Jacob",S02_Turn1,65.955
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,51,"Abel, Jacob",S03_Turns2_3,75.705
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,51,"Abel, Jacob",S04_Turn4,61.016
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,51,"Abel, Jacob",S05_Turns5_8,54.181
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,51,"Abel, Jacob",S06_Turn9,49.683
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,6,51,"Abel, Jacob",S07_Turn9a,70.462
