Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,
Jurickson Profar,SD,OF,30,14,44,4,13,2,0,1,7,0,0,5,4,0,0,0,0.295,0.367,0.409,0.776,
Bryce Johnson,SF,OF,28,30,43,7,7,1,0,1,3,3,0,4,15,0,1,0,0.163,0.229,0.256,0.485,
Jared Young,CHC,1B,28,16,43,8,8,0,3,2,8,2,0,3,13,0,0,1,0.186,0.255,0.465,0.72,
Sam Huff,TEX,C,26,21,43,5,11,2,0,3,6,0,0,2,17,0,0,0,0.256,0.289,0.512,0.801,
Cody Thomas,OAK,OF,29,19,42,1,10,3,0,1,2,0,0,4,17,0,0,0,0.238,0.304,0.381,0.685,
Jonny DeLuca,LAD,OF,25,24,42,5,11,1,0,2,6,1,0,3,8,0,0,0,0.262,0.311,0.429,0.74,
TJ Hopkins,CIN,OF,27,25,41,7,7,0,0,0,1,1,0,2,17,0,0,1,0.171,0.227,0.171,0.398,
Sandy Leon,TEX,C,34,22,41,4,6,2,0,0,4,0,0,1,20,1,0,1,0.146,0.186,0.195,0.381,
J.P. Martinez,TEX,OF,27,17,40,7,9,1,0,1,4,0,0,2,16,0,2,0,0.225,0.25,0.325,0.575,
Kyren Paris,LAA,SS,22,15,40,4,4,0,0,0,1,3,0,4,17,1,0,1,0.1,0.2,0.1,0.3,
Grae Kessinger,HOU,SS,26,26,40,3,8,2,0,1,1,0,1,5,12,0,0,0,0.2,0.289,0.325,0.614,
Spencer Horwitz,TOR,1B,26,15,39,5,10,2,0,1,7,0,0,4,12,0,0,1,0.256,0.341,0.385,0.726,
Jordyn Adams,LAA,OF,24,17,39,1,5,0,0,0,1,1,2,0,16,0,1,0,0.128,0.125,0.128,0.253,
Marco Luciano,SF,SS,22,14,39,4,9,3,0,0,0,1,0,6,17,0,0,0,0.231,0.333,0.308,0.641,
Hunter Renfroe,CIN,OF,31,14,39,4,5,0,0,1,4,0,0,5,12,0,0,0,0.128,0.227,0.205,0.432,
Sean Bouchard,COL,OF,27,21,38,11,12,2,0,4,7,0,1,4,14,0,1,0,0.316,0.372,0.684,1.056,
Coco Montes,COL,2B,27,18,38,3,7,2,0,1,3,0,0,2,12,0,0,1,0.184,0.244,0.316,0.56,
Dominic Canzone,ARI,OF,26,15,38,4,9,2,0,1,8,0,0,2,8,0,0,1,0.237,0.293,0.368,0.661,
Ivan Herrera,STL,C,23,13,37,6,11,2,0,0,4,0,0,5,11,0,0,2,0.297,0.409,0.351,0.76,
Andrew Stevenson,MIN,OF,29,25,37,4,7,1,0,0,1,4,1,2,8,0,0,1,0.189,0.25,0.216,0.466,
Eguy Rosario,SD,3B,24,11,36,6,9,1,1,2,6,0,0,1,12,0,0,0,0.25,0.27,0.5,0.77,
Adam Haseley,CWS,OF,27,28,36,6,8,2,0,0,2,1,0,3,8,0,0,0,0.222,0.282,0.278,0.56,
Blake Rutherford,WAS,OF,26,16,35,4,6,0,0,0,2,0,0,1,10,0,0,0,0.171,0.194,0.171,0.365,
Andre Lipcius,DET,3B,25,13,35,3,10,1,0,1,4,0,0,3,8,0,0,0,0.286,0.342,0.4,0.742,
Junior Caminero,TB,3B,20,7,34,4,8,1,0,1,7,0,0,2,8,0,0,0,0.235,0.278,0.353,0.631,
Joey Ortiz,BAL,2B,25,15,33,4,7,1,0,0,4,0,0,0,9,0,1,0,0.212,0.206,0.242,0.448,
Peyton Burdick,MIA,OF,26,14,33,4,6,2,0,1,2,1,0,3,18,0,0,1,0.182,0.27,0.333,0.603,
David Hamilton,BOS,SS,26,15,33,2,4,2,0,0,0,2,1,6,10,0,0,0,0.121,0.256,0.182,0.438,
Tyler Fitzgerald,SF,OF,26,10,32,3,7,2,0,2,5,2,0,2,10,0,0,0,0.219,0.265,0.469,0.734,
Oneil Cruz,PIT,SS,25,9,32,7,8,1,0,1,4,3,0,7,8,0,1,0,0.25,0.375,0.375,0.75,
Canaan Smith Njigba,PIT,OF,24,15,32,3,4,1,1,0,5,1,0,4,16,0,1,0,0.125,0.216,0.219,0.435,
Harrison Bader,CIN,OF,29,14,31,4,5,1,0,0,3,3,1,3,3,0,0,0,0.161,0.235,0.194,0.429,
Travis Blankenhorn,WAS,3B,27,10,31,2,5,0,0,1,1,0,0,6,6,0,0,0,0.161,0.297,0.258,0.555,
Oscar Mercado,STL,OF,29,20,31,3,9,3,0,0,5,2,1,1,4,0,0,0,0.29,0.313,0.387,0.7,
Jorge Alfaro,COL,C,30,10,31,2,5,4,0,1,4,0,0,0,12,0,0,1,0.161,0.188,0.387,0.575,
Ji Man Choi,SD,1B,32,16,31,3,2,1,0,0,2,0,0,8,8,0,1,1,0.065,0.268,0.097,0.365,
Jasson Dominguez,NYY,OF,20,8,31,6,8,1,0,4,7,1,0,2,8,0,0,0,0.258,0.303,0.677,0.98,
Jose Tena,CLE,SS,22,18,31,2,7,2,0,0,3,0,0,3,13,0,0,0,0.226,0.294,0.29,0.584,
Jordan Lawlar,ARI,SS,21,14,31,2,4,0,0,0,0,1,1,2,11,0,0,1,0.129,0.206,0.129,0.335,
Logan Porter,KC,C,28,11,31,4,6,1,0,1,3,0,0,5,11,1,0,1,0.194,0.324,0.323,0.647,
Heston Kjerstad,BAL,DH,24,13,30,3,7,1,0,2,3,0,0,2,10,0,0,0,0.233,0.281,0.467,0.748,
Kolten Wong,LAD,2B,33,20,30,4,9,0,0,2,8,2,1,2,7,0,1,1,0.3,0.353,0.5,0.853,
Kyle Stowers,BAL,OF,26,14,30,1,2,0,0,0,0,0,0,3,12,0,0,0,0.067,0.152,0.067,0.219,
Rodolfo Castro,PHI,2B,24,14,30,2,3,0,0,0,2,0,0,2,12,0,0,0,0.1,0.156,0.1,0.256,
Nelson Velazquez,CHC,OF,25,13,29,8,7,2,0,3,6,0,0,3,8,0,0,0,0.241,0.313,0.621,0.934,
Jon Singleton,MIL,1B,32,11,29,3,3,1,0,0,2,0,0,3,11,0,0,0,0.103,0.188,0.138,0.326,
Tyler Heineman,TOR,C,32,19,29,4,8,1,1,0,3,0,0,7,7,0,0,1,0.276,0.432,0.379,0.811,
Kyle Garlick,MIN,OF,31,14,28,2,5,1,0,2,4,0,0,2,11,0,0,0,0.179,0.233,0.429,0.662,
Edwin Rios,CHC,1B,29,18,28,3,2,1,0,1,2,0,0,5,16,0,0,1,0.071,0.235,0.214,0.449,
Drew Millas,WAS,C,26,11,28,1,8,2,0,1,6,0,0,4,5,1,0,0,0.286,0.375,0.464,0.839,
Nathan Lukes,TOR,OF,29,29,26,4,5,1,1,0,2,0,0,4,9,0,1,0,0.192,0.29,0.308,0.598,
Bligh Madris,HOU,OF,27,12,26,4,4,1,0,0,0,0,0,4,7,0,0,0,0.154,0.267,0.192,0.459,
Darin Ruf,MIL,DH,37,11,26,2,5,1,0,0,0,0,0,4,7,0,0,0,0.192,0.3,0.231,0.531,
Chris Owings,PIT,2B,32,11,25,0,4,0,0,0,0,0,0,0,12,0,0,0,0.16,0.16,0.16,0.32,
Austin Hedges,TEX,C,31,17,24,1,5,0,0,0,2,0,0,0,8,1,0,0,0.208,0.208,0.208,0.416,
Dalton Guthrie,PHI,OF,28,23,24,4,4,1,0,0,0,0,0,3,7,0,0,1,0.167,0.286,0.208,0.494,
Buddy Kennedy,ARI,3B,25,10,24,1,4,1,0,0,1,0,0,4,6,0,0,1,0.167,0.31,0.208,0.518,
Drew Ellis,PHI,3B,28,12,23,4,5,0,0,2,4,0,1,6,7,0,0,0,0.217,0.379,0.478,0.857,
Greg Allen,NYY,OF,30,22,23,6,5,1,1,1,1,3,1,2,10,1,0,2,0.217,0.333,0.478,0.811,
Brian Serven,COL,C,28,11,23,0,3,1,0,0,1,0,0,0,10,0,0,0,0.13,0.13,0.174,0.304,
Darin Ruf,SF,DH,37,9,23,1,6,2,0,0,3,0,0,4,9,0,0,0,0.261,0.37,0.348,0.718,
Cooper Hummel,SEA,DH,29,10,23,2,2,1,0,0,0,1,0,2,9,0,0,1,0.087,0.192,0.13,0.322,
Josh Lester,BAL,1B,29,11,22,0,4,0,0,0,4,0,0,1,7,0,0,0,0.182,0.217,0.182,0.399,
Yonny Hernandez,LAD,3B,25,14,22,5,3,1,0,0,4,0,0,2,8,1,1,1,0.136,0.231,0.182,0.413,
Tommy La Stella,SEA,DH,34,12,21,2,4,1,0,0,2,0,0,3,5,0,0,0,0.19,0.292,0.238,0.53,
Austin Meadows,DET,OF,28,6,21,0,5,1,0,0,2,0,0,0,3,0,0,0,0.238,0.238,0.286,0.524,
Luis Torrens,CHC,C,27,13,20,1,5,1,0,0,3,0,0,1,8,0,0,1,0.25,0.318,0.3,0.618,
Juniel Querecuto,STL,2B,31,9,20,2,2,1,0,0,0,0,0,1,6,0,0,0,0.1,0.143,0.15,0.293,
Brian O'Keefe,SEA,C,30,8,19,0,2,2,0,0,2,0,0,2,7,0,0,0,0.105,0.19,0.211,0.401,
Isan Diaz,SF,2B,27,6,19,0,1,0,0,0,1,0,0,2,7,0,0,0,0.053,0.143,0.053,0.196,
Johan Camargo,SF,2B,30,8,18,0,4,0,0,0,2,0,0,1,4,0,0,1,0.222,0.3,0.222,0.522,
Abraham Toro,MIL,3B,27,9,18,4,8,0,0,2,9,0,0,2,5,0,0,1,0.444,0.524,0.778,1.302,
Ryan Kreidler,DET,SS,26,11,18,2,2,0,0,0,0,0,0,0,7,0,0,0,0.111,0.111,0.111,0.222,
Vinny Capra,PIT,3B,27,9,18,3,3,1,0,0,1,0,0,2,5,1,0,0,0.167,0.25,0.222,0.472,
Cesar Salazar,HOU,C,27,13,18,1,2,0,0,0,0,0,0,1,6,0,0,0,0.111,0.158,0.111,0.269,
Alexander Canario,CHC,DH,23,6,17,1,5,1,1,1,6,0,0,0,8,0,0,0,0.294,0.294,0.647,0.941,
Jorge Alfaro,BOS,C,30,8,17,0,2,0,0,0,0,0,0,2,3,0,0,1,0.118,0.25,0.118,0.368,
Weston Wilson,PHI,OF,29,8,16,5,5,0,0,1,2,3,1,6,5,0,0,0,0.313,0.5,0.5,1,
Chadwick Tromp,ATL,C,28,6,16,1,2,1,0,0,1,0,0,0,7,0,0,0,0.125,0.125,0.188,0.313,
Alfonso Rivas,SD,1B,27,8,15,2,3,2,0,0,1,0,0,2,7,0,0,0,0.2,0.294,0.333,0.627,
Abraham Almonte,NYM,OF,34,8,15,1,1,1,0,0,0,0,0,1,8,0,0,0,0.067,0.125,0.133,0.258,
Ben Gamel,SD,OF,31,6,15,2,3,1,0,0,2,0,0,0,2,0,0,0,0.2,0.2,0.267,0.467,
Roberto Perez,SF,C,35,5,15,0,2,0,0,0,1,0,0,2,6,0,0,0,0.133,0.235,0.133,0.368,
Jordan Luplow,TOR,OF,30,7,14,1,3,0,0,0,1,0,0,3,8,0,0,0,0.214,0.353,0.214,0.567,
Eli White,ATL,OF,29,6,14,1,1,0,0,0,0,0,0,2,7,0,0,1,0.071,0.235,0.071,0.306,
Seby Zavala,ARI,C,30,7,14,2,5,1,0,0,2,0,0,2,2,0,0,1,0.357,0.471,0.429,0.9,
Pete Crow Armstrong,CHC,OF,21,13,14,3,0,0,0,0,1,2,2,3,7,2,0,0,0,0.176,0,0.176,
Taylor Kohlwey,SD,OF,29,5,13,0,2,0,0,0,0,0,0,0,5,0,0,0,0.154,0.154,0.154,0.308,
Forrest Wall,ATL,OF,28,15,13,6,6,2,0,1,2,5,1,2,4,0,0,0,0.462,0.533,0.846,1.379,
Manny Pina,OAK,C,36,4,12,1,3,0,0,1,1,0,0,0,3,0,0,0,0.25,0.25,0.5,0.75,
Austin Wynns,LAD,C,33,5,11,0,2,1,0,0,2,0,0,1,5,0,0,0,0.182,0.25,0.273,0.523,
Anthony Bemboom,BAL,C,33,6,11,0,2,0,0,0,0,0,0,2,2,0,0,0,0.182,0.308,0.182,0.49,
Irving Lopez,STL,2B,28,5,11,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,
Eric Haase,CLE,C,31,3,10,0,2,0,0,0,0,1,0,1,3,0,0,0,0.2,0.273,0.2,0.473,
Ehire Adrianza,ATL,OF,34,5,10,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0.091,0,0.091,
Jahmai Jones,MIL,DH,26,7,10,2,2,1,0,0,3,1,0,1,5,0,0,0,0.2,0.273,0.3,0.573,
Luke Williams,LAD,SS,27,4,10,0,1,0,0,0,0,1,0,0,3,0,0,0,0.1,0.1,0.1,0.2,
Mark Mathias,SF,DH,29,5,10,1,2,0,0,0,2,0,0,0,4,0,0,0,0.2,0.2,0.2,0.4,
Luke Williams,ATL,SS,27,7,9,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,
Tyler Heineman,PIT,C,32,3,9,1,1,0,0,0,0,1,0,1,1,0,0,0,0.111,0.2,0.111,0.311,
Raimel Tapia,TB,OF,29,5,9,4,3,0,0,0,0,2,0,2,1,0,0,0,0.333,0.455,0.333,0.788,
David Dahl,SD,OF,29,4,9,1,1,0,0,1,1,0,0,0,2,0,0,0,0.111,0.111,0.444,0.555,
Cal Stevenson,SF,OF,27,6,9,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0.25,0,0.25,
Jacob Amaya,MIA,SS,25,4,9,1,2,0,0,0,2,1,0,0,1,0,0,0,0.222,0.222,0.222,0.444,
Livan Soto,LAA,SS,23,4,9,2,2,0,0,0,0,0,0,3,2,0,0,0,0.222,0.417,0.222,0.639,
Tyler Naquin,CWS,OF,32,5,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,
Luis Torrens,SEA,C,27,5,8,0,2,2,0,0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.75,
Michael Perez,NYM,C,31,3,8,1,4,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.625,1.125,
Cole Tucker,COL,OF,27,5,8,2,4,0,0,0,2,0,0,1,2,0,0,1,0.5,0.6,0.5,1.1,
Kevin Padlo,LAA,3B,27,3,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.25,0.375,
Jonathan Ornelas,TEX,SS,23,8,7,2,1,0,0,0,0,0,0,0,4,0,0,1,0.143,0.25,0.143,0.393,
Rylan Bannon,HOU,3B,27,2,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
Drew Maggi,PIT,3B,34,3,6,1,2,1,0,0,1,0,0,0,1,0,0,0,0.333,0.333,0.5,0.833,
Adam Engel,SD,OF,32,5,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,
AJ Pollock,SF,OF,36,5,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
Gary Sanchez,NYM,C,31,3,6,0,1,0,0,0,1,0,0,0,3,0,1,0,0.167,0.143,0.167,0.31,
Tyler Cropley,KC,C,28,2,6,0,1,0,0,0,1,0,0,0,2,0,1,0,0.167,0.143,0.167,0.31,
Cam Eden,TOR,OF,25,5,6,1,1,0,0,0,0,0,0,0,2,0,0,0,0.167,0.167,0.167,0.334,
Caleb Hamilton,BOS,C,28,4,5,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0.167,0,0.167,
Jake Marisnick,LAD,OF,32,4,5,0,2,0,0,0,0,0,1,0,0,0,0,1,0.4,0.5,0.4,0.9,
Matt Reynolds,CIN,3B,33,2,5,1,1,0,0,0,0,0,0,0,3,0,0,0,0.2,0.2,0.2,0.4,
Isan Diaz,DET,2B,27,2,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
Tristan Gray,TB,1B,27,2,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0.4,0.4,1,1.4,
Mike Siani,STL,OF,24,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
Matt Beaty,SF,1B,30,4,5,1,1,0,0,0,1,0,0,0,2,0,0,0,0.2,0.2,0.2,0.4,
Jeter Downs,WAS,SS,25,6,5,4,2,0,0,0,1,2,0,4,1,0,0,0,0.4,0.667,0.4,1.067,
Cal Mitchell,PIT,OF,25,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.2,0,0.2,
Connor Kaiser,COL,SS,27,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
Braden Shewmake,ATL,SS,26,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Zack Collins,CLE,C,28,2,4,0,2,0,0,0,0,0,0,2,2,0,0,0,0.5,0.667,0.5,1.167,
Meibrys Viloria,CLE,C,26,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0.25,
Austin Wynns,SF,C,33,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
Tres Barrera,STL,C,29,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chris Okey,LAA,C,29,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
Jake Marisnick,CWS,OF,32,9,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Billy Hamilton,CWS,OF,33,3,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,
Alejo Lopez,CIN,2B,27,1,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0.5,0.5,1,1.5,
Chandler Seagle,SD,C,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Diego Castillo,ARI,OF,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mason McCoy,TOR,SS,28,6,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Mike Siani,CIN,OF,24,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,
