Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,
Garrett Stubbs,PHI,C,30,41,113,15,23,4,1,1,12,2,0,9,29,1,0,2,0.204,0.274,0.283,0.557,
Eduardo Escobar,NYM,3B,35,40,110,15,26,3,2,4,16,2,0,8,24,1,1,0,0.236,0.286,0.409,0.695,
Tucker Barnhart,CHC,C,33,47,109,6,22,3,0,1,9,1,0,12,42,0,1,1,0.202,0.285,0.257,0.542,
Nolan Schanuel,LAA,1B,21,29,109,19,30,3,0,1,6,0,0,20,19,0,0,3,0.275,0.402,0.33,0.732,
Avisail Garcia,MIA,OF,32,37,108,8,20,3,1,3,12,2,0,6,39,0,0,2,0.185,0.241,0.315,0.556,
Victor Robles,WAS,OF,26,36,107,15,32,5,1,0,8,8,1,11,18,4,0,4,0.299,0.385,0.364,0.749,
Luis Guillorme,NYM,2B,29,54,107,12,24,6,1,1,9,0,0,10,28,2,1,0,0.224,0.288,0.327,0.615,
Jacob Young,WAS,OF,24,33,107,9,27,7,1,0,12,13,0,10,22,3,0,1,0.252,0.322,0.336,0.658,
Josh Donaldson,NYY,3B,38,34,106,13,15,1,0,10,15,0,0,12,32,0,2,0,0.142,0.225,0.434,0.659,
Yu Chang,BOS,3B,28,39,105,12,17,2,0,6,18,4,0,3,34,2,0,2,0.162,0.2,0.352,0.552,
Jackie Bradley,KC,OF,33,43,105,10,14,5,0,1,6,0,0,5,29,1,0,2,0.133,0.188,0.21,0.398,
Jesus Aguilar,OAK,1B,33,36,104,8,23,2,0,5,9,0,0,8,31,0,1,1,0.221,0.281,0.385,0.666,
Jared Walsh,LAA,1B,30,39,104,10,13,4,0,4,11,0,0,11,45,0,0,1,0.125,0.216,0.279,0.495,
Josh Harrison,PHI,2B,36,41,103,8,21,3,0,2,10,0,0,3,20,0,2,6,0.204,0.263,0.291,0.554,
Rene Pinto,TB,C,27,39,103,10,26,3,0,6,16,0,0,2,34,0,0,0,0.252,0.267,0.456,0.723,
