race_name,short_race_name,date,finish_place,driver_ID,driver,PitNumber,LapNumber,Time_of_Race
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,18,4,"Malukas, David",1,15,00:26:41.2785
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,18,4,"Malukas, David",2,30,00:54:10.7566
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,18,4,"Malukas, David",3,48,01:27:12.0317
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,19,6,"Siegel, Nolan",1,10,00:18:02.1066
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,19,6,"Siegel, Nolan",2,27,00:48:47.4720
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,19,6,"Siegel, Nolan",3,37,01:07:10.4420
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,19,6,"Siegel, Nolan",4,51,01:32:45.4926
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,20,30,"DeFrancesco, Devlin",1,3,00:05:36.8918
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,20,30,"DeFrancesco, Devlin",2,13,00:23:45.0228
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,20,30,"DeFrancesco, Devlin",3,29,00:52:38.8059
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,20,30,"DeFrancesco, Devlin",4,47,01:25:12.6521
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,21,28,"Ericsson, Marcus",1,15,00:26:42.2559
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,21,28,"Ericsson, Marcus",2,27,00:49:00.9306
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,21,28,"Ericsson, Marcus",3,46,01:23:45.6795
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,22,83,"Shwartzman, Robert (R)",1,12,00:21:35.8158
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,22,83,"Shwartzman, Robert (R)",2,28,00:50:55.8253
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,22,83,"Shwartzman, Robert (R)",3,46,01:23:52.4336
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,23,77,"Robb, Sting Ray",1,13,00:23:41.1138
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,23,77,"Robb, Sting Ray",2,31,00:56:47.3070
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,23,77,"Robb, Sting Ray",3,48,01:27:35.1316
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,24,45,"Foster, Louis (R)",1,12,00:21:34.1851
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,24,45,"Foster, Louis (R)",2,30,00:54:11.1128
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,24,45,"Foster, Louis (R)",3,46,01:23:41.2758
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,25,51,"Abel, Jacob (R)",1,16,00:29:31.0980
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,25,51,"Abel, Jacob (R)",2,17,00:31:44.4193
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,25,51,"Abel, Jacob (R)",3,35,01:04:46.0998
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,25,51,"Abel, Jacob (R)",4,48,01:28:29.5506
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,26,90,"Ilott, Callum",1,1,00:02:53.1772
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,26,90,"Ilott, Callum",2,15,00:28:28.4883
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,26,90,"Ilott, Callum",3,16,00:30:49.0806
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,26,90,"Ilott, Callum",4,32,00:59:57.9107
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,26,90,"Ilott, Callum",5,49,01:30:54.9762
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,27,3,"McLaughlin, Scott",1,11,00:19:56.4254
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,27,3,"McLaughlin, Scott",2,19,00:34:32.5168
The Thermal Club INDYCAR Grand Prix,thermal,23-Mar-2025,27,3,"McLaughlin, Scott",3,37,01:17:12.6474
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,1,27,"Kirkwood, Kyle",1,7,00:08:30.1231
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,1,27,"Kirkwood, Kyle",2,35,00:41:30.1520
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,1,27,"Kirkwood, Kyle",3,65,01:16:47.4835
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,2,10,"Palou, Alex",1,6,00:07:13.3561
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,2,10,"Palou, Alex",2,34,00:40:11.9705
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,2,10,"Palou, Alex",3,64,01:15:28.0863
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,3,7,"Lundgaard, Christian",1,28,00:32:44.4905
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,3,7,"Lundgaard, Christian",2,40,00:47:12.9417
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,3,7,"Lundgaard, Christian",3,61,01:12:05.8372
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,4,60,"Rosenqvist, Felix",1,6,00:07:22.9663
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,4,60,"Rosenqvist, Felix",2,33,00:39:16.0455
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,4,60,"Rosenqvist, Felix",3,62,01:13:23.1436
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,5,12,"Power, Will",1,6,00:07:19.8889
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,5,12,"Power, Will",2,35,00:41:35.2140
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,5,12,"Power, Will",3,63,01:14:35.5510
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,6,3,"McLaughlin, Scott",1,5,00:06:12.0385
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,6,3,"McLaughlin, Scott",2,33,00:39:21.4402
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,6,3,"McLaughlin, Scott",3,61,01:12:24.4252
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,7,26,"Herta, Colton",1,5,00:06:02.6422
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,7,26,"Herta, Colton",2,35,00:41:30.4631
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,7,26,"Herta, Colton",3,64,01:15:43.1143
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,8,9,"Dixon, Scott",1,29,00:33:55.9283
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,8,9,"Dixon, Scott",2,37,00:43:49.6873
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,8,9,"Dixon, Scott",3,66,01:18:09.0028
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,9,77,"Robb, Sting Ray",1,26,00:30:35.5429
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,9,77,"Robb, Sting Ray",2,52,01:01:20.2542
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,9,77,"Robb, Sting Ray",3,64,01:15:48.4149
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,10,8,"Simpson, Kyffin",1,29,00:33:59.9236
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,10,8,"Simpson, Kyffin",2,38,00:44:59.8325
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,10,8,"Simpson, Kyffin",3,68,01:20:27.2954
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,11,14,"Ferrucci, Santino",1,27,00:31:46.9798
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,11,14,"Ferrucci, Santino",2,37,00:43:58.2630
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,11,14,"Ferrucci, Santino",3,63,01:14:43.6062
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,12,28,"Ericsson, Marcus",1,6,00:07:15.7585
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,12,28,"Ericsson, Marcus",2,34,00:40:26.1328
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,12,28,"Ericsson, Marcus",3,63,01:14:44.5051
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,13,5,"O'Ward, Pato",1,6,00:07:17.3658
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,13,5,"O'Ward, Pato",2,33,00:39:22.1059
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,13,5,"O'Ward, Pato",3,61,01:12:25.7077
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,14,66,"Armstrong, Marcus",1,8,00:09:36.9801
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,14,66,"Armstrong, Marcus",2,36,00:42:56.9960
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,14,66,"Armstrong, Marcus",3,64,01:15:59.6564
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,15,20,"Rossi, Alexander",1,7,00:08:25.6174
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,15,20,"Rossi, Alexander",2,34,00:40:29.5856
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,15,20,"Rossi, Alexander",3,62,01:13:38.9895
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,16,45,"Foster, Louis (R)",1,5,00:06:15.6479
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,16,45,"Foster, Louis (R)",2,34,00:40:40.4667
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,16,45,"Foster, Louis (R)",3,62,01:13:42.2972
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,17,4,"Malukas, David",1,5,00:06:07.7571
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,17,4,"Malukas, David",2,33,00:39:23.3359
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,17,4,"Malukas, David",3,61,01:12:30.3472
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,18,83,"Shwartzman, Robert (R)",1,25,00:29:44.4406
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,18,83,"Shwartzman, Robert (R)",2,53,01:02:57.4287
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,18,83,"Shwartzman, Robert (R)",3,65,01:17:32.5534
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,19,18,"Veekay, Rinus",1,7,00:08:49.3386
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,19,18,"Veekay, Rinus",2,34,00:40:59.2032
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,19,18,"Veekay, Rinus",3,62,01:14:02.6580
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,20,6,"Siegel, Nolan",1,10,00:12:28.4062
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,20,6,"Siegel, Nolan",2,38,00:45:41.9337
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,20,6,"Siegel, Nolan",3,61,01:12:52.6821
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,21,90,"Ilott, Callum",1,7,00:08:47.0475
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,21,90,"Ilott, Callum",2,34,00:41:00.7898
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,21,90,"Ilott, Callum",3,62,01:14:18.6439
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,22,15,"Rahal, Graham",1,3,00:03:49.7844
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,22,15,"Rahal, Graham",2,32,00:38:16.3889
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,22,15,"Rahal, Graham",3,58,01:09:10.7701
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,23,21,"Rasmussen, Christian",1,3,00:03:59.6852
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,23,21,"Rasmussen, Christian",2,30,00:36:14.7916
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,23,21,"Rasmussen, Christian",3,60,01:11:56.7715
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,24,30,"DeFrancesco, Devlin",1,7,00:08:54.6981
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,24,30,"DeFrancesco, Devlin",2,34,00:41:01.7061
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,24,30,"DeFrancesco, Devlin",3,62,01:14:27.1610
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,25,76,"Daly, Conor",1,6,00:07:34.9468
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,25,76,"Daly, Conor",2,32,00:38:39.0076
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,25,76,"Daly, Conor",3,63,01:15:58.9104
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,26,51,"Abel, Jacob (R)",1,8,00:10:04.8309
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,26,51,"Abel, Jacob (R)",2,34,00:41:23.7510
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,26,51,"Abel, Jacob (R)",3,62,01:15:15.7479
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,27,2,"Newgarden, Josef",1,2,00:02:46.7080
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,27,2,"Newgarden, Josef",2,31,00:37:05.1611
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,27,2,"Newgarden, Josef",3,60,01:11:19.6632
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,27,2,"Newgarden, Josef",4,61,01:13:24.5302
Acura Grand Prix of Long Beach,longbeach,13-Apr-2025,27,2,"Newgarden, Josef",5,78,01:34:35.5905
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,10,"Palou, Alex",1,2,00:03:37.9733
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,10,"Palou, Alex",2,39,00:46:24.9409
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,1,10,"Palou, Alex",3,72,01:21:33.7041
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,2,9,"Dixon, Scott",1,2,00:03:37.4774
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,2,9,"Dixon, Scott",2,39,00:46:24.3096
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,2,9,"Dixon, Scott",3,73,01:22:37.0448
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,3,2,"Newgarden, Josef",1,2,00:03:38.3673
Firestone Grand Prix of St. Petersburg,stpete,2-Mar-2025,3,2,"Newgarden, Josef",2,38,00:45:20.5081
